name,description,salary,minimum_qualification,role_id
Forest Officer,"Manages forest resources, implements conservation programs, and protects wildlife habitats. Enforces environmental regulations and promotes sustainable forestry.",8-20 LPA,Bachelor's degree in Forestry for state exams,66
Tax Inspector,"Enforces tax laws, conducts audits, and ensures tax compliance by individuals and businesses. Investigates tax evasion cases and collects revenue.",6-15 LPA,Bachelor's degree for SSC CGL,67
Postal Assistant,"Handles postal services, mail sorting, and counter operations in post offices. Manages financial services and government scheme implementations.",4-8 LPA,12th pass for Postal Circle exam,68
Defence Personnel,"Serves in Indian Armed Forces protecting national security and territorial integrity. Participates in military operations, training, and peacekeeping missions.",6-25 LPA,12th pass for various defence exams,69
Public Health Officer,"Implements public health programs, manages healthcare initiatives, and ensures community health standards. Coordinates disease prevention and health promotion activities.",7-18 LPA,MBBS or Master's in Public Health,70
E-commerce Manager,"Manages online retail operations, oversees digital marketing strategies, and optimizes e-commerce platforms. Analyzes sales data and implements growth initiatives.",8-25 LPA,MBA or Bachelor's with e-commerce experience,71
Retail Store Manager,"Oversees daily store operations, manages staff, and ensures customer satisfaction. Handles inventory management, sales targets, and store profitability.",5-15 LPA,Bachelor's degree with retail management experience,72
Digital Marketing Specialist,"Develops and executes online marketing campaigns, manages social media presence, and optimizes digital advertising. Analyzes campaign performance and ROI.",4-15 LPA,Bachelor's in Marketing with digital skills,73
Supply Chain Coordinator,"Manages product sourcing, inventory levels, and distribution networks. Coordinates with suppliers and logistics partners to ensure efficient operations.",6-18 LPA,Bachelor's in Supply Chain or Operations,74
Customer Service Representative,"Handles customer inquiries, resolves complaints, and provides product support. Maintains customer satisfaction and builds brand loyalty.",2-6 LPA,12th pass with communication skills,75
Visual Merchandiser,"Creates attractive product displays, designs store layouts, and implements visual branding strategies. Enhances customer shopping experience through visual appeal.",3-8 LPA,Diploma in Design or Visual Arts,76
Category Manager,"Manages specific product categories, analyzes market trends, and develops pricing strategies. Coordinates with vendors and optimizes product assortment.",8-20 LPA,MBA with retail or FMCG experience,77
Warehouse Manager,"Oversees warehouse operations, manages inventory storage, and coordinates order fulfillment. Ensures efficient logistics and timely deliveries.",6-15 LPA,Bachelor's degree with logistics experience,78
Sales Associate,"Assists customers with product selection, processes transactions, and maintains store presentation. Provides product knowledge and achieves sales targets.",2-5 LPA,12th pass with sales aptitude,79
E-commerce Data Analyst,"Analyzes customer behavior, sales trends, and website performance metrics. Provides insights for business optimization and strategic decision-making.",6-18 LPA,Bachelor's in Analytics or Statistics,80
Civil Engineer,"Designs and supervises construction projects including roads, bridges, buildings, and infrastructure. Ensures structural integrity and compliance with building codes.",6-20 LPA,BTech Civil Engineering,81
Architect,"Designs buildings and structures, creates architectural plans, and oversees construction projects. Combines aesthetic design with functional requirements and safety standards.",8-25 LPA,Bachelor of Architecture (B.Arch),82
Project Manager,"Manages construction projects from planning to completion, coordinates resources, and ensures timely delivery. Oversees budgets, schedules, and quality control.",12-30 LPA,Engineering degree with project management experience,83
Real Estate Agent,"Facilitates property transactions, assists buyers and sellers, and provides market analysis. Manages property listings and negotiates deals.",3-15 LPA,Bachelor's degree with real estate licensing,84
Quantity Surveyor,"Estimates construction costs, manages project budgets, and controls expenses. Prepares tender documents and monitors financial aspects of construction projects.",6-18 LPA,Civil Engineering or Quantity Surveying degree,85
Site Engineer,"Supervises construction activities on-site, ensures safety protocols, and monitors work quality. Coordinates with contractors and resolves technical issues.",4-12 LPA,BTech Civil Engineering,86
Real Estate Developer,"Identifies land opportunities, manages development projects, and oversees property construction. Handles permits, financing, and project coordination.",15-50 LPA,Engineering or MBA with real estate experience,87
Interior Designer,Designs interior spaces for residential and commercial properties. Creates functional and aesthetic environments using space planning and design elements.,4-15 LPA,Bachelor's in Interior Design,88
Construction Supervisor,"Oversees daily construction operations, manages workers, and ensures project progress. Implements safety measures and quality control procedures.",5-15 LPA,Diploma in Civil Engineering with experience,89
Property Manager,"Manages rental properties, handles tenant relations, and maintains property conditions. Oversees maintenance, rent collection, and property marketing.",6-18 LPA,Bachelor's degree with property management experience,90
Content Writer,"Creates written content for various media platforms including websites, blogs, social media, and marketing materials. Researches topics and adapts writing style for target audiences.",3-10 LPA,"Bachelor's in English, Journalism, or Communications",91
Film Director,"Leads film production, guides actors and crew, and makes creative decisions. Oversees all aspects of filmmaking from pre-production to post-production.",10-100 LPA,Bachelor's in Film Studies or equivalent experience,92
Graphic Designer,"Creates visual content for print and digital media using design software. Develops logos, advertisements, websites, and marketing materials.",4-12 LPA,Bachelor's in Graphic Design or Fine Arts,93
Video Editor,"Edits raw video footage, adds effects and sound, and creates final video products. Works on films, television shows, documentaries, and digital content.",4-15 LPA,Bachelor's in Media Arts or technical training,94
Journalist,"Investigates and reports news stories for newspapers, magazines, television, or online platforms. Conducts interviews, researches facts, and writes articles.",4-15 LPA,Bachelor's in Journalism or Mass Communications,95
Social Media Manager,"Manages brand presence on social media platforms, creates content strategies, and engages with online communities. Analyzes social media metrics and trends.",4-12 LPA,Bachelor's in Marketing or Communications,96
Radio Jockey,"Hosts radio programs, plays music, conducts interviews, and entertains listeners. Interacts with audience through calls and social media.",3-8 LPA,Bachelor's degree with broadcasting training,97
Photographer,"Captures professional photographs for various purposes including events, portraits, commercial products, and artistic projects. Handles photo editing and client relations.",3-12 LPA,Bachelor's in Photography or Fine Arts,98
Television Producer,"Oversees television program production, manages budgets, and coordinates creative teams. Handles programming decisions and content development.",8-25 LPA,Bachelor's in Media Production or Communications,99
Digital Marketing Specialist,"Develops online marketing campaigns, manages digital advertising, and analyzes campaign performance. Creates strategies for brand promotion across digital channels.",5-18 LPA,Bachelor's in Marketing with digital skills,100
Logistics Manager,"Oversees supply chain operations, manages transportation networks, and optimizes delivery systems. Coordinates with vendors, warehouses, and distribution centers.",8-22 LPA,MBA in Supply Chain or Operations Management,101
Commercial Pilot,"Operates aircraft for passenger and cargo transportation, ensures flight safety, and follows aviation regulations. Requires extensive training and licensing.",15-35 LPA,Commercial Pilot License with flight training,102
Ship Captain,"Commands merchant vessels, manages crew operations, and ensures safe maritime transportation. Responsible for navigation, cargo, and regulatory compliance.",12-30 LPA,Nautical Science degree with maritime experience,103
Textile Engineer,"Develops textile production processes, improves fabric quality, and implements manufacturing technologies. Specializes in fiber science and textile chemistry.",5-15 LPA,BTech Textile Engineering,104
Fashion Designer,"Creates clothing designs, develops fashion collections, and follows industry trends. Combines creativity with market knowledge and production requirements.",4-20 LPA,Bachelor's in Fashion Design,105
Power Plant Engineer,"Operates and maintains power generation facilities, monitors equipment performance, and ensures efficient energy production. Handles safety protocols and regulatory compliance.",8-25 LPA,BTech Electrical or Mechanical Engineering,106
Renewable Energy Specialist,"Develops solar, wind, and other renewable energy projects. Conducts feasibility studies, manages installations, and promotes sustainable energy solutions.",7-20 LPA,BTech with renewable energy specialization,107
Network Engineer,"Designs and maintains telecommunications infrastructure, manages network performance, and troubleshoots connectivity issues. Ensures reliable communication systems.",6-18 LPA,BTech Electronics or Telecommunications,108
Telecom Sales Manager,"Manages sales teams, develops customer relationships, and promotes telecommunications services. Achieves revenue targets and expands market presence.",8-20 LPA,MBA or Bachelor's with sales experience,109
