job_id,job_title,domain,industry,description
J105,Staff Quality Assurance Engineer,Technology,Quality Assurance,Staff-level quality assurance engineer position in quality assurance
J106,Junior Technical Writer,Technology,Documentation,Junior-level technical writer position in documentation
J107,Senior Technical Writer,Technology,Documentation,Senior-level technical writer position in documentation
J108,Lead Technical Writer,Technology,Documentation,Lead-level technical writer position in documentation
J109,Principal Technical Writer,Technology,Documentation,Principal-level technical writer position in documentation
J110,Staff Technical Writer,Technology,Documentation,Staff-level technical writer position in documentation
J111,Junior Database Administrator,Technology,Database Management,Junior-level database administrator position in database management
J112,Senior Database Administrator,Technology,Database Management,Senior-level database administrator position in database management
J113,Lead Database Administrator,Technology,Database Management,Lead-level database administrator position in database management
J114,Principal Database Administrator,Technology,Database Management,Principal-level database administrator position in database management
J115,Staff Database Administrator,Technology,Database Management,Staff-level database administrator position in database management
J116,Junior Network Engineer,Technology,Network Administration,Junior-level network engineer position in network administration
J117,Senior Network Engineer,Technology,Network Administration,Senior-level network engineer position in network administration
J118,Lead Network Engineer,Technology,Network Administration,Lead-level network engineer position in network administration
J119,Principal Network Engineer,Technology,Network Administration,Principal-level network engineer position in network administration
J120,Staff Network Engineer,Technology,Network Administration,Staff-level network engineer position in network administration
J121,General Practitioner,Healthcare,Primary Care,Medical professional specializing in primary care
J122,Specialist Doctor,Healthcare,Specialized Medicine,Medical professional specializing in specialized medicine
J123,Surgeon,Healthcare,Surgery,Medical professional specializing in surgery
J124,Anesthesiologist,Healthcare,Anesthesia,Medical professional specializing in anesthesia
J125,Radiologist,Healthcare,Radiology,Medical professional specializing in radiology
J126,Pathologist,Healthcare,Pathology,Medical professional specializing in pathology
J127,Emergency Medicine Doctor,Healthcare,Emergency Medicine,Medical professional specializing in emergency medicine
J128,Psychiatrist,Healthcare,Mental Health,Medical professional specializing in mental health
J129,Dermatologist,Healthcare,Dermatology,Medical professional specializing in dermatology
J130,Orthopedic Surgeon,Healthcare,Orthopedics,Medical professional specializing in orthopedics
J131,Registered Nurse,Healthcare,Nursing,Medical professional specializing in nursing
J132,Nurse Practitioner,Healthcare,Advanced Nursing,Medical professional specializing in advanced nursing
J133,Medical Technologist,Healthcare,Laboratory,Medical professional specializing in laboratory
J134,Physical Therapist,Healthcare,Rehabilitation,Medical professional specializing in rehabilitation
J135,Occupational Therapist,Healthcare,Occupational Health,Medical professional specializing in occupational health
J136,Investment Analyst,Finance,Investment Management,Finance professional specializing in investment management
J137,Credit Analyst,Finance,Credit Management,Finance professional specializing in credit management
J138,Risk Manager,Finance,Risk Management,Finance professional specializing in risk management
J139,Treasury Analyst,Finance,Treasury,Finance professional specializing in treasury
J140,Compliance Officer,Finance,Compliance,Finance professional specializing in compliance
J141,Internal Auditor,Finance,Internal Audit,Finance professional specializing in internal audit
J142,Tax Consultant,Finance,Tax Advisory,Finance professional specializing in tax advisory
J143,Wealth Manager,Finance,Wealth Management,Finance professional specializing in wealth management
J144,Corporate Finance Analyst,Finance,Corporate Finance,Finance professional specializing in corporate finance
J145,Equity Research Analyst,Finance,Equity Research,Finance professional specializing in equity research
J146,Fixed Income Analyst,Finance,Fixed Income,Finance professional specializing in fixed income
J147,Quantitative Analyst,Finance,Quantitative Finance,Finance professional specializing in quantitative finance
J148,Insurance Underwriter,Finance,Insurance,Finance professional specializing in insurance
J149,Actuary,Finance,Actuarial Science,Finance professional specializing in actuarial science
J150,Financial Planner,Finance,Financial Planning,Finance professional specializing in financial planning
