role,skill,relationship_type
Bank Manager,Financial Analysis,REQUIRES
Bank Manager,Customer Relationship Management,REQUIRES
Bank Manager,Leadership,REQUIRES
Bank Manager,Risk Assessment,REQUIRES
Investment Banker,Financial Analysis,REQUIRES
Investment Banker,Investment Management,REQUIRES
Investment Banker,Financial Modeling,REQUIRES
Investment Banker,Negotiation,REQUIRES
Financial Analyst,Financial Analysis,REQUIRES
Financial Analyst,Investment Management,REQUIRES
Financial Analyst,Data Analysis,REQUIRES
Financial Analyst,Financial Modeling,REQUIRES
Chartered Accountant,Accounting Principles,REQUIRES
Chartered Accountant,Financial Analysis,REQUIRES
Chartered Accountant,Taxation Knowledge,REQUIRES
Chartered Accountant,Regulatory Compliance,REQUIRES
Credit Analyst,Credit Evaluation,REQUIRES
Credit Analyst,Financial Analysis,REQUIRES
Credit Analyst,Risk Assessment,REQUIRES
Risk Manager,Risk Assessment,REQUIRES
Risk Manager,Financial Analysis,REQUIRES
Risk Manager,Regulatory Compliance,REQUIRES
Loan Officer,Credit Evaluation,REQUIRES
Loan Officer,Customer Relationship Management,REQUIRES
Loan Officer,Financial Analysis,REQUIRES
Treasury Manager,Treasury Operations,REQUIRES
Treasury Manager,Financial Analysis,REQUIRES
Treasury Manager,Investment Management,REQUIRES
Compliance Officer,Regulatory Compliance,REQUIRES
Compliance Officer,Legal Research,REQUIRES
Compliance Officer,Risk Assessment,REQUIRES
Insurance Agent,Customer Service,REQUIRES
Insurance Agent,Sales Techniques,REQUIRES
Insurance Agent,Communication Skills,REQUIRES
Mechanical Engineer,CAD/CAM,REQUIRES
Mechanical Engineer,Technical Drawing,REQUIRES
Mechanical Engineer,Project Management,REQUIRES
Mechanical Engineer,Equipment Maintenance,REQUIRES
Production Manager,Project Management,REQUIRES
Production Manager,Quality Control,REQUIRES
Production Manager,Team Management,REQUIRES
Production Manager,Process Optimization,REQUIRES
Quality Control Engineer,Quality Control,REQUIRES
Quality Control Engineer,Statistical Analysis,REQUIRES
Quality Control Engineer,Technical Analysis,REQUIRES
Industrial Engineer,Process Optimization,REQUIRES
Industrial Engineer,Lean Manufacturing,REQUIRES
Industrial Engineer,Statistical Analysis,REQUIRES
Industrial Engineer,Project Management,REQUIRES
Electrical Engineer,Technical Analysis,REQUIRES
Electrical Engineer,Equipment Maintenance,REQUIRES
Electrical Engineer,Safety Management,REQUIRES
Plant Manager,Project Management,REQUIRES
Plant Manager,Team Management,REQUIRES
Plant Manager,Strategic Planning,REQUIRES
Plant Manager,Safety Management,REQUIRES
Maintenance Engineer,Equipment Maintenance,REQUIRES
Maintenance Engineer,Technical Analysis,REQUIRES
Maintenance Engineer,Safety Management,REQUIRES
Design Engineer,CAD/CAM,REQUIRES
Design Engineer,Technical Drawing,REQUIRES
Design Engineer,Creative Design,REQUIRES
Safety Officer,Safety Management,REQUIRES
Safety Officer,Risk Assessment,REQUIRES
Safety Officer,Regulatory Compliance,REQUIRES
Supply Chain Manager,Supply Chain Management,REQUIRES
Supply Chain Manager,Project Management,REQUIRES
Supply Chain Manager,Negotiation,REQUIRES
Teacher,Classroom Management,REQUIRES
Teacher,Curriculum Development,REQUIRES
Teacher,Communication Skills,REQUIRES
Teacher,Educational Assessment,REQUIRES
Professor,Academic Research,REQUIRES
Professor,Curriculum Development,REQUIRES
Professor,Public Speaking,REQUIRES
Professor,Critical Thinking,REQUIRES
Principal,Leadership,REQUIRES
Principal,Team Management,REQUIRES
Principal,Strategic Planning,REQUIRES
Principal,Educational Administration,REQUIRES
Training Manager,Training Delivery,REQUIRES
Training Manager,Curriculum Development,REQUIRES
Training Manager,Team Management,REQUIRES
Curriculum Developer,Curriculum Development,REQUIRES
Curriculum Developer,Instructional Design,REQUIRES
Curriculum Developer,Educational Psychology,REQUIRES
Educational Counselor,Student Counseling,REQUIRES
Educational Counselor,Communication Skills,REQUIRES
Educational Counselor,Emotional Intelligence,REQUIRES
Instructional Designer,Instructional Design,REQUIRES
Instructional Designer,Educational Technology,REQUIRES
Instructional Designer,Creative Design,REQUIRES
Academic Administrator,Project Management,REQUIRES
Academic Administrator,Leadership,REQUIRES
Academic Administrator,Regulatory Compliance,REQUIRES
Research Scholar,Academic Research,REQUIRES
Research Scholar,Critical Thinking,REQUIRES
Research Scholar,Data Analysis,REQUIRES
Online Tutor,Educational Technology,REQUIRES
Online Tutor,Communication Skills,REQUIRES
Online Tutor,Adaptability,REQUIRES
